SampleID.	SiteType	SampleLocation	Date	Month	Latitude	Longitude	AirTemp	WaterTemp	Rain3days	Rain1month	ChemDataSource	TP	DO	TEMP	CONDUCTIVITY	pH	TN	AMMONIA	TSS
A1.9.14.16	Ag	A2	9.14.16	Sept	26.25424	-80.36333	32	28.9	0.5	5.92	DNHYDRO	0.129	3.16	29.7	1387	7.5	3.47	0.817	5
A2.4.20.17	Ag	A2	4.20.17	April	26.25424	-80.36333	26	23.9	0.05	0.981	DBHYDRO	0.095	6.33	24.4	420	7.7	1.2	0.036	4
A2.1.25.17	Ag	A2	1.25.17	Jan	26.25424	-80.36333	24.4	23.3	0.6	1.346	DBHYDRO	0.085	6.98	21	423	7.7	1.28	0.044	4
A2.7.14.17	Ag	A2	7.14.17	July	26.25424	-80.36333	26.7	29	2.664	7.208	DBHYDRO	0.038	3.39	31.1	869	7.3	2.17	0.105	4
A2.6.26.17	Ag	A2	6.26.17	June	26.25424	-80.36333	34.3	31.3	0.009	18.568	DBHYDRO	0.053	2.75	32.5	590	7.2	1.7	0.017	4
A2.3.08.17	Ag	A2	3.08.17	Mar	26.25424	-80.36333	23	18	0	1.697	DBHYDRO	0.066	6.15	22.2	411	7.7	1.03	0.023	5
A2.5.19.17	Ag	A2	5.19.17	May	26.25424	-80.36333	32	27.2	0.177	5.862	DBHYDRO	0.083	4.37	28.1	507	7.6	1.4	0.052	6
A2.9.20.17	Ag	A2	9.20.17	Sept	26.25424	-80.36333	31	28.3	0.125	12.05	DBHYDRO	0.206	1.9	29.7	698	7.1	2.78	0.065	4
Br124.8.22.16	Urban	Br124	8.22.16	Aug	26.03573	-80.13016	33	27.2222	0.45	6.326	Broward	0.022	1.36	30.2	680	7.05	1.36	0.27	3
Br124.7.14.17	Urban	Br124	7.14.17	July	26.03573	-80.13016	29.3	29.2	1.296	7.114	Broward	0.006	1.27	29.1	702	7.47	0.83	0.2884	3
Br124.3.08.17	Urban	Br124	3.08.17	Mar	26.03573	-80.13016	24	19.2	0.1	1.775	Broward	0.024	6.47	21.41	676	7.57	0.565	0.0504	3
Br124.5.19.17	Urban	Br124	5.19.17	May	26.03573	-80.13016	31	26.2	0.416	8.004	Broward	0.005	5.5	26.5	606	7.39	0.77	0.125	3
Br24.4.20.17	UrbanSalt	Br24	4.20.17	April	26.03337	-80.08364	27	25.8	0.1	1.187	Broward	0.0119	5.76	22.07	46187	7.67	0.066	0.0856	3
Br24.8.22.16	UrbanSalt	Br24	8.22.16	Aug	26.03337	-80.08364	33	25.5556	1.32	4.4	Broward	0.102	4.33	31.4	36500	7.46	1.06	0.06	3
Br24.7.14.17	UrbanSalt	Br24	7.14.17	July	26.03337	-80.08364	28.7	29.8	1.2965	4.199	Broward	0.004	4.3	30.3	38622	7.63	1.02	0.073	3
Br24.5.19.17	UrbanSalt	Br24	5.19.17	May	26.03337	-80.08364	31	26.4	0.416	4.751	Broward	0.004	5.45	27.3	38662	7.66	0.09	0.075	3
Br28.8.22.16	Urban	Br28	8.22.16	Aug	26.03504	-80.18449	33	26.6667	0.45	8.247	Broward	0.044	1.73	30.1	702	7.91	1.46	0.335	3
Br28.7.14.17	Urban	Br28	7.14.17	July	26.03504	-80.18449	31.5	28.8	1.659	8.645	Broward	0.004	0.75	27.5	750	7.3	0.88	0.445	3
Br28.3.08.17	Urban	Br28	3.08.17	Mar	26.03504	-80.18449	24	18.6	0.02	1.853	Broward	0.007	6.81	21.84	718	8.56	0.153	0.2304	3
Br28.5.19.17	Urban	Br28	5.19.17	May	26.03504	-80.18449	31	25.6	0.612	6.5	Broward	0.004	7.11	27.7	643	8.11	0.34	0.036	3
Br29.4.20.17	Urban	Br29	4.20.17	April	26.03403	-80.25393	25	25	0.03	0.992	DBHYDRO	0.012	0.16	24.7	778	7	1.68	0.002	3
Br29.12.05.16	Urban	Br29	12.05.16	Dec	26.03403	-80.25393	28.333	24.5	0.02	0.748	DBHYDRO	0.009	1.29	24.7	750	7.3	0.02	0.005	3
Br29.1.25.17	Urban	Br29	1.25.17	Jan	26.03403	-80.25393	28.3	23.3	0.1	1.316	DBHYDRO	0.009	3.68	23.2	772	7.5	1.65	0.002	3
Br29.7.14.17	Urban	Br29	7.14.17	July	26.03403	-80.25393	32	29.5	3.234	8.645	DBHYDRO/Broward	0.012	3.27	28.6	763	7.43	1.26	0.2384	3
Br29.6.26.17	Urban	Br29	6.26.17	June	26.03403	-80.25393	31.5	30	0.074	16.397	DBHYDRO	0.012	3.58	28.3	723	7.3	1.6	0.002	3
Br29.3.08.17	Urban	Br29	3.08.17	Mar	26.03403	-80.25393	24	18.3	0	1.853	Broward/DBHYDRO	0.011	3.1	23.35	814	7.44	0.017	0.0856	3
Br29.5.19.17	Urban	Br29	5.19.17	May	26.03403	-80.25393	32	26.1	0.583	6.5	DBHYDRO/Broward	0.0047	4.38	26.8	709	7.52	1.53	0.2471	3
Br29.9.20.17	Urban	Br29	9.20.17	Sept	26.03403	-80.25393	28	28.8	0.017	12.018	DBHYDRO	0.013	2.47	27.9	675	7.3	1.6	0.002	3
GW1.8.2.17	Control	GW1	8.2.17	Aug	26.4925	-80.10469	30.3	27.2	1.278	7.126	WPB	0.016	4.17	27.4	290	7	1.04	0.21	2
GW1A.12.14.16	Control	GW1	12.14.16	Dec	26.4925	-80.10469	25.2	22.2	0.08	1.045	DBHYDRO/WPB	0.014	5.32	22.6	170	7.1	0.965	0.1	2
GW1.6.20.17	Control	GW1	6.20.17	June	26.4925	-80.10469	28.7	28.3	1.039	12.794	WPB	0.015	0.72	27.9	136	6.6	0.95	0.1	2
GWFS.3.22.17	Control	GW1	3.22.17	Mar	26.4925	-80.10469	26.4	21.4	0	2.928	DBHYDRO/WPB	0.015	5.58	21.7	407	7.4	0.895	0.1	2
GW1.11.16.16	Control	GW1	11.16.16	Nov	26.4925	-80.10469	22.3	21.1	0	0.608	WPB	0.022	5	20.9	165	6.61	1.18	0.1	2
GW1.11.21.17	Control	GW1	11.21.17	Nov	26.4925	-80.10469	21	19	0.423	7.297	DBHYDRO/WPB	0.085	4.81	23	162	6.6	0.611	0.13	2
GW1.10.26.16	Control	GW1	10.26.16	Oct	26.4925	-80.10469	24.9	22.5	0	5.712	WPB	0.017	4.92	22.7	190	7.2	0.98	0.1	2
GW1.9.20.17	Control	GW1	9.20.17	Sept	26.4925	-80.10469	30.7	28.6	0.76	9.487	WPB	0.013	1.35	28.3	249	6.5	0.38	0.1	2
GW2.8.2.17	Control	GW2	8.2.17	Aug	26.49209	-80.11167	29.7	27.5	1.278	7.126	WPB	0.016	4.17	27.4	290	7	1.04	0.21	2
GW2.12.14.16	Control	GW2	12.14.16	Dec	26.49209	-80.11167	25.5	23.3	0.08	1.045	DBHYDRO/WPB	0.014	5.32	22.6	170	7.1	0.965	0.1	2
GW2.1.18.17	Control	GW2	1.18.17	Jan	26.49209	-80.11167	25.1	18.7	0	0.564	DBHYDRO/WPB	0.01	6.33	20.9	162	7.8	0.93	0.1	2
GW2.6.20.17	Control	GW2	6.20.17	June	26.49209	-80.11167	29.1	28	1.039	12.794	WPB	0.015	0.72	27.9	136	6.6	0.95	0.1	2
GW2.3.22.17	Control	GW2	3.22.17	Mar	26.49209	-80.11167	26	20.8	0	2.928	DBHYDRO/WPB	0.015	5.58	21.7	407	7.4	0.895	0.1	2
